"CountryCode","Country","IncomeGroup"
"2","ABW","Aruba","High income: nonOECD"
"3","ADO","Andorra","High income: nonOECD"
"4","AFG","Afghanistan","Low income"
"5","AGO","Angola","Upper middle income"
"6","ALB","Albania","Upper middle income"
"7","ARB","Arab World",NA
"8","ARE","United Arab Emirates","High income: nonOECD"
"9","ARG","Argentina","Upper middle income"
"10","ARM","Armenia","Lower middle income"
"11","ASM","American Samoa","Upper middle income"
"12","ATG","Antigua and Barbuda","High income: nonOECD"
"13","AUS","Australia","High income: OECD"
"14","AUT","Austria","High income: OECD"
"15","AZE","Azerbaijan","Upper middle income"
"16","BDI","Burundi","Low income"
"17","BEL","Belgium","High income: OECD"
"18","BEN","Benin","Low income"
"19","BFA","Burkina Faso","Low income"
"20","BGD","Bangladesh","Low income"
"21","BGR","Bulgaria","Upper middle income"
"22","BHR","Bahrain","High income: nonOECD"
"23","BHS","The Bahamas","High income: nonOECD"
"24","BIH","Bosnia and Herzegovina","Upper middle income"
"25","BLR","Belarus","Upper middle income"
"26","BLZ","Belize","Upper middle income"
"27","BMU","Bermuda","High income: nonOECD"
"28","BOL","Bolivia","Lower middle income"
"29","BRA","Brazil","Upper middle income"
"30","BRB","Barbados","High income: nonOECD"
"31","BRN","Brunei","High income: nonOECD"
"32","BTN","Bhutan","Lower middle income"
"33","BWA","Botswana","Upper middle income"
"34","CAF","Central African Republic","Low income"
"35","CAN","Canada","High income: OECD"
"36","CHE","Switzerland","High income: OECD"
"37","CHI","Channel Islands","High income: nonOECD"
"38","CHL","Chile","High income: OECD"
"39","CHN","China","Upper middle income"
"40","CIV","Côte d'Ivoire","Lower middle income"
"41","CMR","Cameroon","Lower middle income"
"42","COG","Congo","Lower middle income"
"43","COL","Colombia","Upper middle income"
"44","COM","Comoros","Low income"
"45","CPV","Cabo Verde","Lower middle income"
"46","CRI","Costa Rica","Upper middle income"
"47","CUB","Cuba","Upper middle income"
"48","CUW","Curaçao","High income: nonOECD"
"49","CYM","Cayman Islands","High income: nonOECD"
"50","CYP","Cyprus","High income: nonOECD"
"51","CZE","Czech Republic","High income: OECD"
"52","DEU","Germany","High income: OECD"
"53","DJI","Djibouti","Lower middle income"
"54","DMA","Dominica","Upper middle income"
"55","DNK","Denmark","High income: OECD"
"56","DOM","Dominican Republic","Upper middle income"
"57","DZA","Algeria","Upper middle income"
"58","EAP","East Asia & Pacific (developing only)",NA
"59","EAS","East Asia & Pacific (all income levels)",NA
"60","ECA","Europe & Central Asia (developing only)",NA
"61","ECS","Europe & Central Asia (all income levels)",NA
"62","ECU","Ecuador","Upper middle income"
"63","EGY","Egypt","Lower middle income"
"64","EMU","Euro area",NA
"65","ERI","Eritrea","Low income"
"66","ESP","Spain","High income: OECD"
"67","EST","Estonia","High income: OECD"
"68","ETH","Ethiopia","Low income"
"69","EUU","European Union",NA
"70","FIN","Finland","High income: OECD"
"71","FJI","Fiji","Upper middle income"
"72","FRA","France","High income: OECD"
"73","FRO","Faeroe Islands","High income: nonOECD"
"74","FSM","Micronesia","Lower middle income"
"75","GAB","Gabon","Upper middle income"
"76","GBR","United Kingdom","High income: OECD"
"77","GEO","Georgia","Lower middle income"
"78","GHA","Ghana","Lower middle income"
"79","GIN","Guinea","Low income"
"80","GMB","The Gambia","Low income"
"81","GNB","Guinea-Bissau","Low income"
"82","GNQ","Equatorial Guinea","High income: nonOECD"
"83","GRC","Greece","High income: OECD"
"84","GRD","Grenada","Upper middle income"
"85","GRL","Greenland","High income: nonOECD"
"86","GTM","Guatemala","Lower middle income"
"87","GUM","Guam","High income: nonOECD"
"88","GUY","Guyana","Lower middle income"
"89","HIC","High income",NA
