"V1","V2","V3","V4","V5","V6"
"1","","Gross domestic product 2014",NA,"","",""
"2","","",NA,"","",""
"3","","",NA,"","(millions of",""
"4","","Ranking",NA,"Economy","US dollars)",""
"5","","",NA,"","",""
"6","USA","1",NA,"United States","17,419,000",""
"7","CHN","2",NA,"China","10,354,832",""
"8","JPN","3",NA,"Japan","4,601,461",""
"9","DEU","4",NA,"Germany","3,868,291",""
"10","GBR","5",NA,"United Kingdom","2,988,893",""
"11","FRA","6",NA,"France","2,829,192",""
"12","BRA","7",NA,"Brazil","2,416,636",""
"13","ITA","8",NA,"Italy","2,141,161",""
"14","IND","9",NA,"India","2,048,517",""
"15","RUS","10",NA,"Russian Federation","1,860,598","a"
"16","CAN","11",NA,"Canada","1,785,387",""
"17","AUS","12",NA,"Australia","1,454,675",""
"18","KOR","13",NA,"Korea, Rep.","1,410,383",""
"19","ESP","14",NA,"Spain","1,381,342",""
"20","MEX","15",NA,"Mexico","1,294,690",""
"21","IDN","16",NA,"Indonesia","888,538",""
"22","NLD","17",NA,"Netherlands","879,319",""
"23","TUR","18",NA,"Turkey","798,429",""
"24","SAU","19",NA,"Saudi Arabia","753,832",""
"25","CHE","20",NA,"Switzerland","701,037",""
"26","SWE","21",NA,"Sweden","571,090",""
"27","NGA","22",NA,"Nigeria","568,508",""
"28","POL","23",NA,"Poland","544,967",""
"29","ARG","24",NA,"Argentina","537,660",""
"30","BEL","25",NA,"Belgium","531,547",""
"31","NOR","26",NA,"Norway","499,817",""
"32","AUT","27",NA,"Austria","436,888",""
"33","IRN","28",NA,"Iran, Islamic Rep.","425,326",""
"34","THA","29",NA,"Thailand","404,824",""
"35","ARE","30",NA,"United Arab Emirates","399,451",""
"36","VEN","31",NA,"Venezuela, RB","381,286",""
"37","COL","32",NA,"Colombia","377,740",""
"38","ZAF","33",NA,"South Africa","350,141",""
"39","DNK","34",NA,"Denmark","342,362",""
"40","MYS","35",NA,"Malaysia","338,104",""
"41","SGP","36",NA,"Singapore","307,860",""
"42","ISR","37",NA,"Israel","305,675",""
"43","EGY","38",NA,"Egypt, Arab Rep.","301,499",""
"44","HKG","39",NA,"Hong Kong SAR, China","290,896",""
"45","PHL","40",NA,"Philippines","284,777",""
"46","FIN","41",NA,"Finland","272,217",""
"47","CHL","42",NA,"Chile","258,062",""
"48","IRL","43",NA,"Ireland","250,814",""
"49","PAK","44",NA,"Pakistan","243,632",""
"50","GRC","45",NA,"Greece","235,574",""
"51","PRT","46",NA,"Portugal","230,117",""
"52","IRQ","47",NA,"Iraq","223,500",""
"53","KAZ","48",NA,"Kazakhstan","217,872",""
"54","DZA","49",NA,"Algeria","213,518",""
"55","QAT","50",NA,"Qatar","210,109",""
"56","CZE","51",NA,"Czech Republic","205,270",""
"57","PER","52",NA,"Peru","202,596",""
"58","NZL","53",NA,"New Zealand","199,970",""
"59","ROM","54",NA,"Romania","199,044",""
"60","VNM","55",NA,"Vietnam","186,205",""
"61","BGD","56",NA,"Bangladesh","172,887",""
"62","KWT","57",NA,"Kuwait","163,612",""
"63","AGO","58",NA,"Angola","138,357",""
"64","HUN","59",NA,"Hungary","138,347",""
"65","UKR","60",NA,"Ukraine","131,805","a"
"66","MAR","61",NA,"Morocco","110,009","b"
"67","PRI","62",NA,"Puerto Rico","103,135",""
"68","ECU","63",NA,"Ecuador","100,917",""
"69","SVK","64",NA,"Slovak Republic","100,249",""
"70","OMN","65",NA,"Oman","81,797",""
"71","LKA","66",NA,"Sri Lanka","78,824",""
"72","CUB","67",NA,"Cuba","77,150",""
"73","BLR","68",NA,"Belarus","76,139",""
"74","AZE","69",NA,"Azerbaijan","75,198",""
"75","SDN","70",NA,"Sudan","73,815",""
"76","LUX","71",NA,"Luxembourg","64,874",""
"77","MMR","72",NA,"Myanmar","64,330",""
"78","DOM","73",NA,"Dominican Republic","64,138",""
"79","UZB","74",NA,"Uzbekistan","62,644",""
"80","KEN","75",NA,"Kenya","60,937",""
"81","GTM","76",NA,"Guatemala","58,827",""
"82","URY","77",NA,"Uruguay","57,471",""
"83","HRV","78",NA,"Croatia","57,113",""
"84","BGR","79",NA,"Bulgaria","56,717",""
"85","ETH","80",NA,"Ethiopia","55,612",""
"86","MAC","81",NA,"Macao SAR, China","55,502",""
"87","CRI","82",NA,"Costa Rica","49,553",""
"88","SVN","83",NA,"Slovenia","49,491",""
"89","TUN","84",NA,"Tunisia","48,613",""
"90","LTU","85",NA,"Lithuania","48,354",""
"91","TZA","86",NA,"Tanzania","48,057","c"
"92","TKM","87",NA,"Turkmenistan","47,932",""
"93","PAN","88",NA,"Panama","46,213",""
"94","LBN","89",NA,"Lebanon","45,731",""
"95","SRB","90",NA,"Serbia","43,866",""
"96","LBY","91",NA,"Libya","41,143",""
"97","GHA","92",NA,"Ghana","38,617",""
"98","YEM","93",NA,"Yemen, Rep.","35,955",""
"99","JOR","94",NA,"Jordan","35,827",""
"100","CIV","95",NA,"Côte d'Ivoire","34,254",""
"101","BHR","96",NA,"Bahrain","33,851",""
"102","ZAR","97",NA,"Congo, Dem. Rep.","33,121",""
"103","BOL","98",NA,"Bolivia","32,996",""
"104","CMR","99",NA,"Cameroon","32,051",""
"105","LVA","100",NA,"Latvia","31,287",""
"106","PRY","101",NA,"Paraguay","30,881",""
"107","TTO","102",NA,"Trinidad and Tobago","28,883",""
"108","ZMB","103",NA,"Zambia","27,066",""
"109","UGA","104",NA,"Uganda","26,998",""
"110","EST","105",NA,"Estonia","26,485",""
"111","SLV","106",NA,"El Salvador","25,164",""
"112","CYP","107",NA,"Cyprus","23,226","d"
"113","AFG","108",NA,"Afghanistan","20,038",""
"114","NPL","109",NA,"Nepal","19,770",""
"115","HND","110",NA,"Honduras","19,385",""
"116","BIH","111",NA,"Bosnia and Herzegovina","18,521",""
"117","GAB","112",NA,"Gabon","18,180",""
"118","BRN","113",NA,"Brunei Darussalam","17,105",""
"119","ISL","114",NA,"Iceland","17,036",""
"120","PNG","115",NA,"Papua New Guinea","16,929",""
"121","KHM","116",NA,"Cambodia","16,778",""
"122","GEO","117",NA,"Georgia","16,530","e"
"123","MOZ","118",NA,"Mozambique","15,938",""
"124","BWA","119",NA,"Botswana","15,813",""
"125","SEN","120",NA,"Senegal","15,658",""
"126","GNQ","121",NA,"Equatorial Guinea","15,530",""
"127","ZWE","122",NA,"Zimbabwe","14,197",""
"128","COG","123",NA,"Congo, Rep.","14,177",""
"129","TCD","124",NA,"Chad","13,922",""
"130","JAM","125",NA,"Jamaica","13,891",""
"131","SSD","126",NA,"South Sudan","13,282",""
"132","ALB","127",NA,"Albania","13,212",""
"133","NAM","128",NA,"Namibia","12,995",""
"134","WBG","129",NA,"West Bank and Gaza","12,738",""
"135","MUS","130",NA,"Mauritius","12,630",""
"136","BFA","131",NA,"Burkina Faso","12,542",""
"137","MLI","132",NA,"Mali","12,037",""
"138","MNG","133",NA,"Mongolia","12,016",""
"139","LAO","134",NA,"Lao PDR","11,997",""
"140","NIC","135",NA,"Nicaragua","11,806",""
"141","ARM","136",NA,"Armenia","11,644",""
"142","MKD","137",NA,"Macedonia, FYR","11,324",""
"143","MDG","138",NA,"Madagascar","10,593",""
"144","MLT","139",NA,"Malta","9,643",""
"145","BEN","140",NA,"Benin","9,575",""
"146","TJK","141",NA,"Tajikistan","9,242",""
"147","HTI","142",NA,"Haiti","8,713",""
