"CountryCode","Ranking","Country","Economy"
"6","USA","1","United States","17,419,000"
"7","CHN","2","China","10,354,832"
"8","JPN","3","Japan","4,601,461"
"9","DEU","4","Germany","3,868,291"
"10","GBR","5","United Kingdom","2,988,893"
"11","FRA","6","France","2,829,192"
"12","BRA","7","Brazil","2,416,636"
"13","ITA","8","Italy","2,141,161"
"14","IND","9","India","2,048,517"
"15","RUS","10","Russian Federation","1,860,598"
"16","CAN","11","Canada","1,785,387"
"17","AUS","12","Australia","1,454,675"
"18","KOR","13","Korea, Rep.","1,410,383"
"19","ESP","14","Spain","1,381,342"
"20","MEX","15","Mexico","1,294,690"
"21","IDN","16","Indonesia","888,538"
"22","NLD","17","Netherlands","879,319"
"23","TUR","18","Turkey","798,429"
"24","SAU","19","Saudi Arabia","753,832"
"25","CHE","20","Switzerland","701,037"
"26","SWE","21","Sweden","571,090"
"27","NGA","22","Nigeria","568,508"
"28","POL","23","Poland","544,967"
"29","ARG","24","Argentina","537,660"
"30","BEL","25","Belgium","531,547"
"31","NOR","26","Norway","499,817"
"32","AUT","27","Austria","436,888"
"33","IRN","28","Iran, Islamic Rep.","425,326"
"34","THA","29","Thailand","404,824"
"35","ARE","30","United Arab Emirates","399,451"
"36","VEN","31","Venezuela, RB","381,286"
"37","COL","32","Colombia","377,740"
"38","ZAF","33","South Africa","350,141"
"39","DNK","34","Denmark","342,362"
"40","MYS","35","Malaysia","338,104"
"41","SGP","36","Singapore","307,860"
"42","ISR","37","Israel","305,675"
"43","EGY","38","Egypt, Arab Rep.","301,499"
"44","HKG","39","Hong Kong SAR, China","290,896"
"45","PHL","40","Philippines","284,777"
"46","FIN","41","Finland","272,217"
"47","CHL","42","Chile","258,062"
"48","IRL","43","Ireland","250,814"
"49","PAK","44","Pakistan","243,632"
"50","GRC","45","Greece","235,574"
"51","PRT","46","Portugal","230,117"
"52","IRQ","47","Iraq","223,500"
"53","KAZ","48","Kazakhstan","217,872"
"54","DZA","49","Algeria","213,518"
"55","QAT","50","Qatar","210,109"
"56","CZE","51","Czech Republic","205,270"
"57","PER","52","Peru","202,596"
"58","NZL","53","New Zealand","199,970"
"59","ROM","54","Romania","199,044"
"60","VNM","55","Vietnam","186,205"
"61","BGD","56","Bangladesh","172,887"
"62","KWT","57","Kuwait","163,612"
"63","AGO","58","Angola","138,357"
