"CountryCode","Ranking","Country.x","Economy","IncomeGroup"
"1","ADO",162,"Andorra","3,249","High income: nonOECD"
"2","AFG",108,"Afghanistan","20,038","Low income"
"3","AGO",58,"Angola","138,357","Upper middle income"
"4","ALB",127,"Albania","13,212","Upper middle income"
"5","ARE",30,"United Arab Emirates","399,451","High income: nonOECD"
"6","ARG",24,"Argentina","537,660","Upper middle income"
"7","ARM",136,"Armenia","11,644","Lower middle income"
"8","ATG",178,"Antigua and Barbuda","1,221","High income: nonOECD"
"9","AUS",12,"Australia","1,454,675","High income: OECD"
"10","AUT",27,"Austria","436,888","High income: OECD"
"11","AZE",69,"Azerbaijan","75,198","Upper middle income"
"12","BDI",164,"Burundi","3,094","Low income"
"13","BEL",25,"Belgium","531,547","High income: OECD"
"14","BEN",140,"Benin","9,575","Low income"
"15","BFA",131,"Burkina Faso","12,542","Low income"
"16","BGD",56,"Bangladesh","172,887","Low income"
"17","BGR",79,"Bulgaria","56,717","Upper middle income"
"18","BHR",96,"Bahrain","33,851","High income: nonOECD"
"19","BHS",143,"Bahamas, The","8,511","High income: nonOECD"
"20","BIH",111,"Bosnia and Herzegovina","18,521","Upper middle income"
"21","BLR",68,"Belarus","76,139","Upper middle income"
"22","BLZ",173,"Belize","1,699","Upper middle income"
"23","BMU",151,"Bermuda","5,574","High income: nonOECD"
"24","BOL",98,"Bolivia","32,996","Lower middle income"
"25","BRA",7,"Brazil","2,416,636","Upper middle income"
"26","BRB",160,"Barbados","4,355","High income: nonOECD"
"27","BRN",113,"Brunei Darussalam","17,105","High income: nonOECD"
"28","BTN",170,"Bhutan","1,959","Lower middle income"
"29","BWA",119,"Botswana","15,813","Upper middle income"
"30","CAF",172,"Central African Republic","1,723","Low income"
"31","CAN",11,"Canada","1,785,387","High income: OECD"
"32","CHE",20,"Switzerland","701,037","High income: OECD"
"33","CHL",42,"Chile","258,062","High income: OECD"
"34","CHN",2,"China","10,354,832","Upper middle income"
"35","CIV",95,"Côte d'Ivoire","34,254","Lower middle income"
"36","CMR",99,"Cameroon","32,051","Lower middle income"
"37","COG",123,"Congo, Rep.","14,177","Lower middle income"
"38","COL",32,"Colombia","377,740","Upper middle income"
"39","COM",187,"Comoros","624","Low income"
"40","CPV",171,"Cabo Verde","1,871","Lower middle income"
"41","CRI",82,"Costa Rica","49,553","Upper middle income"
"42","CUB",67,"Cuba","77,150","Upper middle income"
"43","CYP",107,"Cyprus","23,226","High income: nonOECD"
"44","CZE",51,"Czech Republic","205,270","High income: OECD"
"45","DEU",4,"Germany","3,868,291","High income: OECD"
"46","DJI",174,"Djibouti","1,589","Lower middle income"
"47","DMA",188,"Dominica","524","Upper middle income"
"48","DNK",34,"Denmark","342,362","High income: OECD"
"49","DOM",73,"Dominican Republic","64,138","Upper middle income"
"50","DZA",49,"Algeria","213,518","Upper middle income"
"53","ECU",63,"Ecuador","100,917","Upper middle income"
"54","EGY",38,"Egypt, Arab Rep.","301,499","Lower middle income"
"56","ESP",14,"Spain","1,381,342","High income: OECD"
"57","EST",105,"Estonia","26,485","High income: OECD"
"58","ETH",80,"Ethiopia","55,612","Low income"
"59","FIN",41,"Finland","272,217","High income: OECD"
"60","FJI",157,"Fiji","4,532","Upper middle income"
"61","FRA",6,"France","2,829,192","High income: OECD"
"62","FRO",166,"Faroe Islands","2,613","High income: nonOECD"
"63","FSM",191,"Micronesia, Fed. Sts.","318","Lower middle income"
"64","GAB",112,"Gabon","18,180","Upper middle income"
"65","GBR",5,"United Kingdom","2,988,893","High income: OECD"
"66","GEO",117,"Georgia","16,530","Lower middle income"
"67","GHA",92,"Ghana","38,617","Lower middle income"
"68","GIN",149,"Guinea","6,624","Low income"
"69","GMB",183,"Gambia, The","851","Low income"
"70","GNB",180,"Guinea-Bissau","1,022","Low income"
"71","GNQ",121,"Equatorial Guinea","15,530","High income: nonOECD"
"72","GRC",45,"Greece","235,574","High income: OECD"
"73","GRD",181,"Grenada","912","Upper middle income"
"74","GRL",167,"Greenland","2,441","High income: nonOECD"
"75","GTM",76,"Guatemala","58,827","Lower middle income"
"76","GUY",163,"Guyana","3,097","Lower middle income"
"78","HKG",39,"Hong Kong SAR, China","290,896","High income: nonOECD"
"79","HND",110,"Honduras","19,385","Lower middle income"
"80","HRV",78,"Croatia","57,113","High income: nonOECD"
"81","HTI",142,"Haiti","8,713","Low income"
"82","HUN",59,"Hungary","138,347","Upper middle income"
"83","IDN",16,"Indonesia","888,538","Lower middle income"
"84","IND",9,"India","2,048,517","Lower middle income"
"85","IRL",43,"Ireland","250,814","High income: OECD"
"86","IRN",28,"Iran, Islamic Rep.","425,326","Upper middle income"
"87","IRQ",47,"Iraq","223,500","Upper middle income"
"88","ISL",114,"Iceland","17,036","High income: OECD"
"89","ISR",37,"Israel","305,675","High income: OECD"
"90","ITA",8,"Italy","2,141,161","High income: OECD"
"91","JAM",125,"Jamaica","13,891","Upper middle income"
"92","JOR",94,"Jordan","35,827","Upper middle income"
"93","JPN",3,"Japan","4,601,461","High income: OECD"
"94","KAZ",48,"Kazakhstan","217,872","Upper middle income"
"95","KEN",75,"Kenya","60,937","Low income"
"96","KGZ",147,"Kyrgyz Republic","7,404","Lower middle income"
"97","KHM",116,"Cambodia","16,778","Low income"
"98","KIR",194,"Kiribati","167","Lower middle income"
"99","KNA",182,"St. Kitts and Nevis","852","High income: nonOECD"
"100","KOR",13,"Korea, Rep.","1,410,383","High income: OECD"
"101","KSV",148,"Kosovo","7,387","Lower middle income"
"102","KWT",57,"Kuwait","163,612","High income: nonOECD"
"104","LAO",134,"Lao PDR","11,997","Lower middle income"
"105","LBN",89,"Lebanon","45,731","Upper middle income"
"106","LBR",169,"Liberia","2,013","Low income"
"107","LBY",91,"Libya","41,143","Upper middle income"
"108","LCA",177,"St. Lucia","1,404","Upper middle income"
"110","LIE",152,"Liechtenstein","5,488","High income: nonOECD"
"111","LKA",66,"Sri Lanka","78,824","Lower middle income"
"114","LSO",168,"Lesotho","2,181","Lower middle income"
"115","LTU",85,"Lithuania","48,354","High income: nonOECD"
"116","LUX",71,"Luxembourg","64,874","High income: OECD"
"117","LVA",100,"Latvia","31,287","High income: nonOECD"
"118","MAC",81,"Macao SAR, China","55,502","High income: nonOECD"
"119","MAR",61,"Morocco","110,009","Lower middle income"
"120","MDA",145,"Moldova","7,962","Lower middle income"
"121","MDG",138,"Madagascar","10,593","Low income"
"122","MDV",165,"Maldives","3,062","Upper middle income"
"123","MEX",15,"Mexico","1,294,690","Upper middle income"
"124","MHL",193,"Marshall Islands","187","Upper middle income"
"126","MKD",137,"Macedonia, FYR","11,324","Upper middle income"
"127","MLI",132,"Mali","12,037","Low income"
"128","MLT",139,"Malta","9,643","High income: nonOECD"
"129","MMR",72,"Myanmar","64,330","Low income"
