"CountryCode","Ranking","Country","Economy","IncomeGroup","IncomeBreak","CountryGrouping","CountryQuartile"
"98","CMR",195,"Cameroon","32051","Lower middle income",2,NA,5
"99","BOL",194,"Bolivia","32996","Lower middle income",2,NA,5
"100","ZAR",193,"Congo, Dem. Rep.","33121","Low income",3,NA,5
"101","BHR",192,"Bahrain","33851","High income: nonOECD",4,NA,5
"102","CIV",191,"Côte d'Ivoire","34254","Lower middle income",2,NA,5
"103","JOR",190,"Jordan","35827","Upper middle income",1,NA,5
"104","YEM",189,"Yemen, Rep.","35955","Lower middle income",2,NA,5
"105","GHA",188,"Ghana","38617","Lower middle income",2,NA,5
"106","LBY",187,"Libya","41143","Upper middle income",1,NA,5
"107","SRB",186,"Serbia","43866","Upper middle income",1,NA,5
"188","IND",185,"India","2048517","Lower middle income",2,NA,5
"108","LBN",184,"Lebanon","45731","Upper middle income",1,NA,5
"109","CMR",195,"Cameroon","32051","Lower middle income",2,NA,5
"110","TKM",182,"Turkmenistan","47932","Upper middle income",1,NA,5
"111","TZA",181,"Tanzania","48057","Low income",3,NA,5
"112","LTU",180,"Lithuania","48354","High income: nonOECD",4,NA,5
"113","TUN",179,"Tunisia","48613","Upper middle income",1,NA,5
"114","SVN",178,"Slovenia","49491","High income: OECD",5,NA,5
"115","CRI",177,"Costa Rica","49553","Upper middle income",1,NA,5
"116","MAC",176,"Macao SAR, China","55502","High income: nonOECD",4,NA,5
"117","ETH",175,"Ethiopia","55612","Low income",3,NA,5
"189","ITA",174,"Italy","2141161","High income: OECD",5,NA,5
"118","BGR",173,"Bulgaria","56717","Upper middle income",1,NA,5
"119","HRV",172,"Croatia","57113","High income: nonOECD",4,NA,5
"120","URY",171,"Uruguay","57471","High income: nonOECD",4,NA,5
"121","GTM",170,"Guatemala","58827","Lower middle income",2,NA,5
"122","KEN",169,"Kenya","60937","Low income",3,NA,5
"123","UZB",168,"Uzbekistan","62644","Lower middle income",2,NA,5
"124","DOM",167,"Dominican Republic","64138","Upper middle income",1,NA,5
"125","MMR",166,"Myanmar","64330","Low income",3,NA,5
"126","LUX",165,"Luxembourg","64874","High income: OECD",5,NA,5
"127","SDN",164,"Sudan","73815","Lower middle income",2,NA,5
"190","BRA",163,"Brazil","2416636","Upper middle income",1,NA,5
"128","AZE",162,"Azerbaijan","75198","Upper middle income",1,NA,5
"129","BLR",161,"Belarus","76139","Upper middle income",1,NA,5
"130","CUB",160,"Cuba","77150","Upper middle income",1,NA,5
"131","LKA",159,"Sri Lanka","78824","Lower middle income",2,NA,5
"132","OMN",158,"Oman","81797","High income: nonOECD",4,NA,5
"133","SVK",157,"Slovak Republic","100249","High income: OECD",5,NA,5
"134","ECU",156,"Ecuador","100917","Upper middle income",1,NA,4
"135","PRI",155,"Puerto Rico","103135","High income: nonOECD",4,NA,4
"136","MAR",154,"Morocco","110009","Lower middle income",2,NA,4
"137","UKR",153,"Ukraine","131805","Lower middle income",2,NA,4
"191","FRA",152,"France","2829192","High income: OECD",5,NA,4
"138","HUN",151,"Hungary","138347","Upper middle income",1,NA,4
"139","AGO",150,"Angola","138357","Upper middle income",1,NA,4
"140","KWT",149,"Kuwait","163612","High income: nonOECD",4,NA,4
"141","BGD",148,"Bangladesh","172887","Low income",3,NA,4
"142","VNM",147,"Vietnam","186205","Lower middle income",2,NA,4
"143","ROM",146,"Romania","199044","Upper middle income",1,NA,4
"144","NZL",145,"New Zealand","199970","High income: OECD",5,NA,4
"145","PER",144,"Peru","202596","Upper middle income",1,3,4
"146","CZE",143,"Czech Republic","205270","High income: OECD",5,NA,4
"147","QAT",142,"Qatar","210109","High income: nonOECD",4,NA,4
"192","GBR",141,"United Kingdom","2988893","High income: OECD",5,3,4
"148","DZA",140,"Algeria","213518","Upper middle income",1,NA,4
"149","KAZ",139,"Kazakhstan","217872","Upper middle income",1,NA,4
"150","IRQ",138,"Iraq","223500","Upper middle income",1,NA,4
"151","PRT",137,"Portugal","230117","High income: OECD",5,NA,4
"152","GRC",136,"Greece","235574","High income: OECD",5,NA,4
